Iteration,Best_Clique_Size,Best_Clique
0,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
1,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
2,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
3,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
4,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
5,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
6,35,"[189, 396, 131, 346, 561, 607, 548, 391, 635, 75, 121, 575, 611, 458, 322, 316, 324, 222, 211, 29, 349, 681, 294, 192, 252, 677, 619, 578, 267, 586, 86, 53, 378, 648, 350]"
7,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
8,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
9,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
10,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
11,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
12,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
13,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
14,37,"[386, 617, 146, 372, 150, 140, 648, 356, 121, 453, 324, 8, 344, 114, 561, 322, 607, 78, 72, 675, 29, 578, 512, 117, 325, 14, 127, 349, 536, 677, 75, 524, 467, 666, 148, 417, 635]"
