Iteration,Best_Clique_Size,Best_Clique
0,10,"[162, 402, 200, 390, 478, 223, 8, 24, 343, 265]"
1,10,"[162, 402, 200, 390, 478, 223, 8, 24, 343, 265]"
2,11,"[188, 429, 90, 166, 224, 452, 479, 250, 485, 152, 272]"
3,11,"[188, 429, 90, 166, 224, 452, 479, 250, 485, 152, 272]"
4,11,"[188, 429, 90, 166, 224, 452, 479, 250, 485, 152, 272]"
5,11,"[188, 429, 90, 166, 224, 452, 479, 250, 485, 152, 272]"
6,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
7,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
8,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
9,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
10,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
11,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
12,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
13,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
14,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
15,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
16,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
17,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
18,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
19,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
20,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
21,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
22,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
23,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
24,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
25,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
26,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
27,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
28,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
29,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
30,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
31,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
32,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
33,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
34,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
35,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
36,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
37,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
38,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
39,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
40,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
41,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
42,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
43,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
44,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
45,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
46,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
47,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
48,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
49,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
50,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
51,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
52,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
53,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
54,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
55,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
56,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
57,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
58,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
59,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
60,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
61,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
62,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
63,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
64,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
65,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
66,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
67,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
68,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
69,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
70,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
71,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
72,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
73,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
74,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
75,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
76,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
77,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
78,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
79,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
80,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
81,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
82,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
83,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
84,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
85,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
86,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
87,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
88,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
89,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
90,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
91,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
92,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
93,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
94,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
95,12,"[472, 116, 284, 300, 295, 341, 182, 206, 202, 331, 160, 220]"
