Iteration,Best_Clique_Size,Best_Clique
0,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
1,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
2,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
3,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
4,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
5,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
6,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
7,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
8,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
9,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
10,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
11,33,"[242, 527, 56, 30, 347, 586, 141, 583, 72, 490, 106, 534, 580, 117, 294, 75, 291, 548, 284, 325, 14, 512, 481, 561, 677, 316, 105, 322, 648, 360, 151, 524, 607]"
12,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
13,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
14,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
15,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
16,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
17,35,"[18, 339, 196, 289, 600, 323, 611, 291, 580, 635, 324, 121, 49, 575, 75, 494, 378, 53, 666, 117, 105, 86, 677, 255, 386, 118, 14, 396, 467, 128, 29, 360, 114, 607, 510]"
