Iteration,Best_Clique_Size,Best_Clique
0,31,"[238, 316, 333, 160, 76, 14, 47, 534, 29, 600, 282, 121, 291, 372, 148, 607, 586, 296, 349, 347, 106, 259, 325, 151, 362, 104, 237, 677, 666, 392, 75]"
1,31,"[238, 316, 333, 160, 76, 14, 47, 534, 29, 600, 282, 121, 291, 372, 148, 607, 586, 296, 349, 347, 106, 259, 325, 151, 362, 104, 237, 677, 666, 392, 75]"
2,32,"[408, 105, 372, 289, 128, 281, 659, 478, 118, 117, 29, 7, 275, 677, 600, 18, 367, 524, 294, 578, 378, 291, 75, 622, 251, 406, 316, 607, 437, 86, 114, 635]"
3,32,"[408, 105, 372, 289, 128, 281, 659, 478, 118, 117, 29, 7, 275, 677, 600, 18, 367, 524, 294, 578, 378, 291, 75, 622, 251, 406, 316, 607, 437, 86, 114, 635]"
4,32,"[408, 105, 372, 289, 128, 281, 659, 478, 118, 117, 29, 7, 275, 677, 600, 18, 367, 524, 294, 578, 378, 291, 75, 622, 251, 406, 316, 607, 437, 86, 114, 635]"
5,32,"[408, 105, 372, 289, 128, 281, 659, 478, 118, 117, 29, 7, 275, 677, 600, 18, 367, 524, 294, 578, 378, 291, 75, 622, 251, 406, 316, 607, 437, 86, 114, 635]"
6,32,"[408, 105, 372, 289, 128, 281, 659, 478, 118, 117, 29, 7, 275, 677, 600, 18, 367, 524, 294, 578, 378, 291, 75, 622, 251, 406, 316, 607, 437, 86, 114, 635]"
7,34,"[481, 14, 611, 148, 114, 316, 453, 291, 78, 449, 367, 349, 325, 146, 675, 259, 75, 586, 211, 580, 118, 561, 353, 406, 247, 607, 635, 372, 666, 677, 378, 238, 29, 578]"
8,34,"[481, 14, 611, 148, 114, 316, 453, 291, 78, 449, 367, 349, 325, 146, 675, 259, 75, 586, 211, 580, 118, 561, 353, 406, 247, 607, 635, 372, 666, 677, 378, 238, 29, 578]"
9,34,"[481, 14, 611, 148, 114, 316, 453, 291, 78, 449, 367, 349, 325, 146, 675, 259, 75, 586, 211, 580, 118, 561, 353, 406, 247, 607, 635, 372, 666, 677, 378, 238, 29, 578]"
10,34,"[481, 14, 611, 148, 114, 316, 453, 291, 78, 449, 367, 349, 325, 146, 675, 259, 75, 586, 211, 580, 118, 561, 353, 406, 247, 607, 635, 372, 666, 677, 378, 238, 29, 578]"
