Iteration,Best_Clique_Size,Best_Clique
0,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
1,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
2,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
3,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
4,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
5,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
6,30,"[132, 494, 446, 693, 75, 69, 419, 417, 127, 128, 188, 495, 72, 121, 666, 344, 151, 324, 260, 242, 575, 327, 16, 103, 333, 677, 53, 372, 607, 148]"
7,36,"[464, 188, 53, 108, 25, 239, 534, 104, 677, 121, 151, 291, 86, 267, 13, 192, 372, 114, 558, 401, 316, 350, 648, 294, 347, 189, 118, 253, 666, 561, 607, 524, 575, 252, 392, 15]"
8,36,"[464, 188, 53, 108, 25, 239, 534, 104, 677, 121, 151, 291, 86, 267, 13, 192, 372, 114, 558, 401, 316, 350, 648, 294, 347, 189, 118, 253, 666, 561, 607, 524, 575, 252, 392, 15]"
9,36,"[464, 188, 53, 108, 25, 239, 534, 104, 677, 121, 151, 291, 86, 267, 13, 192, 372, 114, 558, 401, 316, 350, 648, 294, 347, 189, 118, 253, 666, 561, 607, 524, 575, 252, 392, 15]"
