Iteration,Best_Clique_Size,Best_Clique
0,31,"[481, 18, 374, 78, 325, 211, 141, 386, 30, 592, 347, 456, 648, 372, 169, 651, 524, 666, 127, 534, 15, 126, 677, 316, 53, 105, 417, 151, 75, 467, 260]"
1,31,"[481, 18, 374, 78, 325, 211, 141, 386, 30, 592, 347, 456, 648, 372, 169, 651, 524, 666, 127, 534, 15, 126, 677, 316, 53, 105, 417, 151, 75, 467, 260]"
2,31,"[481, 18, 374, 78, 325, 211, 141, 386, 30, 592, 347, 456, 648, 372, 169, 651, 524, 666, 127, 534, 15, 126, 677, 316, 53, 105, 417, 151, 75, 467, 260]"
3,31,"[481, 18, 374, 78, 325, 211, 141, 386, 30, 592, 347, 456, 648, 372, 169, 651, 524, 666, 127, 534, 15, 126, 677, 316, 53, 105, 417, 151, 75, 467, 260]"
4,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
5,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
6,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
7,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
8,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
9,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
10,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
11,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
12,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
13,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
14,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
15,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
16,32,"[423, 128, 14, 510, 353, 322, 578, 316, 575, 291, 406, 536, 349, 607, 151, 378, 511, 16, 105, 224, 78, 296, 132, 29, 494, 344, 396, 255, 148, 677, 611, 512]"
17,34,"[367, 561, 607, 116, 436, 72, 514, 548, 349, 30, 86, 524, 648, 53, 239, 627, 148, 260, 29, 512, 322, 75, 611, 114, 151, 481, 14, 316, 117, 105, 128, 350, 600, 291]"
