Iteration,Best_Clique_Size,Best_Clique
0,30,"[657, 238, 467, 226, 344, 327, 511, 49, 75, 396, 128, 392, 212, 599, 586, 561, 653, 381, 666, 47, 247, 126, 353, 281, 105, 652, 372, 648, 121, 251]"
1,31,"[627, 68, 350, 132, 558, 523, 575, 460, 510, 561, 384, 360, 15, 75, 600, 378, 252, 121, 607, 118, 512, 29, 151, 578, 251, 344, 140, 611, 126, 49, 401]"
2,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
3,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
4,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
5,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
6,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
7,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
8,32,"[29, 406, 620, 558, 49, 434, 15, 260, 494, 375, 512, 192, 677, 360, 239, 114, 237, 536, 353, 347, 118, 386, 660, 561, 316, 607, 126, 392, 344, 583, 327, 666]"
9,34,"[372, 173, 307, 349, 322, 638, 586, 344, 47, 151, 578, 627, 114, 118, 121, 14, 237, 611, 75, 512, 353, 160, 490, 575, 524, 583, 128, 607, 666, 510, 536, 316, 296, 117]"
10,34,"[372, 173, 307, 349, 322, 638, 586, 344, 47, 151, 578, 627, 114, 118, 121, 14, 237, 611, 75, 512, 353, 160, 490, 575, 524, 583, 128, 607, 666, 510, 536, 316, 296, 117]"
11,34,"[372, 173, 307, 349, 322, 638, 586, 344, 47, 151, 578, 627, 114, 118, 121, 14, 237, 611, 75, 512, 353, 160, 490, 575, 524, 583, 128, 607, 666, 510, 536, 316, 296, 117]"
12,34,"[372, 173, 307, 349, 322, 638, 586, 344, 47, 151, 578, 627, 114, 118, 121, 14, 237, 611, 75, 512, 353, 160, 490, 575, 524, 583, 128, 607, 666, 510, 536, 316, 296, 117]"
13,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
14,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
15,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
16,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
17,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
18,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
19,35,"[586, 155, 622, 458, 76, 580, 53, 367, 294, 251, 607, 284, 350, 600, 316, 618, 322, 514, 648, 128, 589, 151, 611, 75, 614, 524, 105, 372, 106, 677, 378, 29, 360, 289, 86]"
