Iteration,Best_Clique_Size,Best_Clique
0,28,"[694, 193, 650, 132, 72, 580, 146, 372, 14, 211, 49, 353, 347, 75, 260, 494, 622, 153, 561, 607, 360, 192, 575, 324, 305, 548, 121, 56]"
1,28,"[694, 193, 650, 132, 72, 580, 146, 372, 14, 211, 49, 353, 347, 75, 260, 494, 622, 153, 561, 607, 360, 192, 575, 324, 305, 548, 121, 56]"
2,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
3,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
4,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
5,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
6,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
7,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
8,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
9,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
10,30,"[461, 121, 648, 162, 188, 392, 267, 128, 391, 401, 13, 524, 617, 467, 151, 681, 561, 76, 251, 8, 485, 242, 578, 192, 316, 222, 294, 322, 521, 607]"
11,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
12,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
13,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
14,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
15,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
16,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
17,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
18,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
19,31,"[617, 39, 626, 578, 467, 659, 386, 524, 592, 453, 512, 316, 151, 401, 392, 188, 192, 242, 128, 582, 436, 305, 344, 350, 324, 281, 322, 349, 291, 15, 121]"
