Iteration,Best_Clique_Size,Best_Clique
0,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
1,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
2,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
3,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
4,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
5,31,"[526, 498, 147, 349, 360, 512, 617, 356, 14, 324, 350, 29, 327, 675, 296, 600, 150, 281, 307, 30, 105, 648, 53, 467, 593, 117, 494, 148, 575, 75, 607]"
6,32,"[582, 618, 4, 11, 14, 237, 155, 417, 481, 305, 622, 294, 660, 635, 360, 253, 458, 386, 607, 188, 524, 677, 362, 578, 324, 267, 316, 378, 192, 406, 611, 536]"
7,32,"[582, 618, 4, 11, 14, 237, 155, 417, 481, 305, 622, 294, 660, 635, 360, 253, 458, 386, 607, 188, 524, 677, 362, 578, 324, 267, 316, 378, 192, 406, 611, 536]"
8,32,"[582, 618, 4, 11, 14, 237, 155, 417, 481, 305, 622, 294, 660, 635, 360, 253, 458, 386, 607, 188, 524, 677, 362, 578, 324, 267, 316, 378, 192, 406, 611, 536]"
9,32,"[582, 618, 4, 11, 14, 237, 155, 417, 481, 305, 622, 294, 660, 635, 360, 253, 458, 386, 607, 188, 524, 677, 362, 578, 324, 267, 316, 378, 192, 406, 611, 536]"
10,32,"[582, 618, 4, 11, 14, 237, 155, 417, 481, 305, 622, 294, 660, 635, 360, 253, 458, 386, 607, 188, 524, 677, 362, 578, 324, 267, 316, 378, 192, 406, 611, 536]"
11,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
12,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
13,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
14,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
15,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
16,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
17,34,"[512, 653, 436, 648, 15, 660, 140, 638, 211, 252, 682, 327, 239, 104, 325, 372, 121, 652, 353, 583, 75, 324, 247, 192, 611, 607, 151, 494, 561, 29, 126, 492, 114, 294]"
