Iteration,Best_Clique_Size,Best_Clique
0,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
1,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
2,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
3,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
4,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
5,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
6,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
7,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
8,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
9,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
10,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
11,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
12,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
13,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
14,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
15,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
16,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
17,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
18,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
19,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
20,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
21,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
22,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
23,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
24,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
25,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
26,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
27,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
28,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
29,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
30,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
31,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
32,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
33,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
34,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
35,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
36,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
37,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
38,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
39,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
40,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
41,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
42,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
43,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
44,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
45,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
46,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
47,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
48,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
49,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
50,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
51,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
52,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
53,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
54,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
55,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
56,11,"[280, 484, 141, 243, 206, 248, 244, 77, 476, 401, 118]"
57,13,"[332, 186, 480, 461, 224, 257, 203, 54, 364, 110, 198, 227, 27]"
