Iteration,Best_Clique_Size,Best_Clique
0,28,"[336, 49, 38, 625, 510, 575, 126, 648, 29, 146, 360, 372, 148, 324, 675, 536, 580, 534, 253, 289, 607, 494, 467, 150, 349, 114, 392, 344]"
1,34,"[674, 211, 121, 372, 436, 276, 490, 316, 534, 252, 294, 324, 575, 583, 51, 291, 611, 349, 322, 648, 75, 114, 260, 30, 188, 151, 417, 86, 494, 666, 296, 561, 580, 607]"
2,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
3,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
4,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
5,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
6,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
7,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
8,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
9,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
10,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
11,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
12,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
13,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
14,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
15,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
16,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
17,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
18,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
19,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
20,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
21,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
22,35,"[625, 436, 660, 685, 653, 417, 140, 607, 78, 672, 247, 467, 494, 635, 86, 327, 29, 47, 105, 648, 126, 391, 75, 251, 211, 677, 512, 356, 353, 121, 652, 127, 148, 666, 561]"
