Iteration,Best_Clique_Size,Best_Clique
0,11,"[229, 414, 298, 257, 193, 352, 301, 397, 115, 153, 478]"
1,11,"[229, 414, 298, 257, 193, 352, 301, 397, 115, 153, 478]"
2,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
3,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
4,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
5,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
6,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
7,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
8,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
9,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
10,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
11,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
12,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
13,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
14,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
15,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
16,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
17,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
18,12,"[112, 495, 494, 378, 229, 81, 325, 21, 83, 122, 146, 313]"
19,13,"[387, 176, 2, 428, 232, 207, 326, 35, 353, 339, 265, 410, 138]"
