Iteration,Best_Clique_Size,Best_Clique
0,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
1,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
2,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
3,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
4,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
5,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
6,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
7,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
8,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
9,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
10,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
11,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
12,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
13,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
14,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
15,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
16,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
17,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
18,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
19,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
20,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
21,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
22,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
23,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
24,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
25,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
26,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
27,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
28,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
29,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
30,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
31,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
32,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
33,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
34,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
35,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
36,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
37,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
38,37,"[30, 648, 548, 289, 460, 498, 144, 105, 483, 242, 15, 294, 131, 607, 247, 578, 586, 189, 458, 253, 211, 53, 524, 239, 324, 464, 561, 192, 78, 512, 121, 372, 677, 86, 316, 291, 401]"
