Iteration,Best_Clique_Size,Best_Clique
0,29,"[153, 188, 128, 317, 7, 593, 200, 275, 104, 607, 307, 251, 30, 151, 406, 498, 575, 494, 592, 378, 652, 622, 614, 192, 114, 238, 637, 68, 316]"
1,29,"[153, 188, 128, 317, 7, 593, 200, 275, 104, 607, 307, 251, 30, 151, 406, 498, 575, 494, 592, 378, 652, 622, 614, 192, 114, 238, 637, 68, 316]"
2,33,"[140, 105, 251, 635, 611, 49, 587, 350, 211, 25, 657, 512, 121, 378, 126, 460, 524, 356, 652, 391, 78, 677, 75, 47, 132, 575, 561, 578, 510, 372, 607, 401, 467]"
3,33,"[140, 105, 251, 635, 611, 49, 587, 350, 211, 25, 657, 512, 121, 378, 126, 460, 524, 356, 652, 391, 78, 677, 75, 47, 132, 575, 561, 578, 510, 372, 607, 401, 467]"
4,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
5,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
6,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
7,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
8,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
9,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
10,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
11,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
12,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
13,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
14,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
15,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
16,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
17,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
18,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
19,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
20,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
21,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
22,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
23,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
24,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
25,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
26,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
27,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
28,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
29,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
30,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
31,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
32,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
33,34,"[417, 454, 456, 333, 294, 553, 325, 242, 211, 192, 151, 467, 607, 29, 583, 144, 618, 104, 253, 666, 121, 494, 372, 386, 30, 652, 126, 140, 534, 148, 648, 260, 436, 324]"
