Iteration,Best_Clique_Size,Best_Clique
0,31,"[78, 575, 421, 495, 75, 16, 490, 536, 151, 291, 458, 524, 436, 106, 128, 316, 512, 677, 685, 323, 47, 578, 296, 200, 333, 386, 607, 160, 580, 86, 121]"
1,31,"[78, 575, 421, 495, 75, 16, 490, 536, 151, 291, 458, 524, 436, 106, 128, 316, 512, 677, 685, 323, 47, 578, 296, 200, 333, 386, 607, 160, 580, 86, 121]"
2,32,"[47, 109, 253, 55, 14, 155, 218, 356, 512, 131, 600, 578, 494, 396, 29, 118, 281, 548, 353, 350, 344, 105, 121, 247, 648, 349, 360, 635, 607, 325, 677, 378]"
3,32,"[47, 109, 253, 55, 14, 155, 218, 356, 512, 131, 600, 578, 494, 396, 29, 118, 281, 548, 353, 350, 344, 105, 121, 247, 648, 349, 360, 635, 607, 325, 677, 378]"
4,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
5,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
6,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
7,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
8,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
9,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
10,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
11,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
12,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
13,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
14,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
15,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
16,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
17,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
18,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
19,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
20,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
21,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
22,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
23,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
24,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
25,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
26,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
27,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
28,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
29,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
30,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
31,35,"[15, 446, 95, 346, 188, 118, 494, 360, 372, 586, 218, 128, 105, 350, 349, 322, 75, 86, 367, 247, 267, 510, 607, 151, 121, 666, 578, 548, 53, 378, 291, 289, 294, 114, 561]"
32,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
33,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
34,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
35,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
36,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
37,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
38,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
39,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
40,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
41,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
42,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
43,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
44,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
45,36,"[437, 8, 289, 652, 611, 105, 350, 561, 458, 583, 392, 239, 188, 375, 7, 406, 251, 86, 607, 534, 586, 494, 316, 677, 322, 114, 294, 117, 512, 657, 372, 192, 291, 575, 75, 30]"
