Iteration,Best_Clique_Size,Best_Clique
0,11,"[30, 161, 438, 300, 256, 48, 150, 65, 376, 384, 8]"
1,11,"[30, 161, 438, 300, 256, 48, 150, 65, 376, 384, 8]"
2,12,"[37, 343, 192, 257, 200, 130, 416, 478, 317, 291, 13, 352]"
3,12,"[37, 343, 192, 257, 200, 130, 416, 478, 317, 291, 13, 352]"
4,12,"[37, 343, 192, 257, 200, 130, 416, 478, 317, 291, 13, 352]"
5,12,"[37, 343, 192, 257, 200, 130, 416, 478, 317, 291, 13, 352]"
6,12,"[37, 343, 192, 257, 200, 130, 416, 478, 317, 291, 13, 352]"
7,13,"[374, 86, 13, 271, 316, 131, 329, 234, 421, 135, 226, 140, 300]"
