Iteration,Best_Clique_Size,Best_Clique
0,29,"[165, 504, 255, 16, 378, 258, 375, 409, 481, 322, 367, 406, 492, 652, 144, 675, 78, 291, 325, 494, 239, 362, 386, 353, 247, 294, 607, 618, 29]"
1,29,"[165, 504, 255, 16, 378, 258, 375, 409, 481, 322, 367, 406, 492, 652, 144, 675, 78, 291, 325, 494, 239, 362, 386, 353, 247, 294, 607, 618, 29]"
2,33,"[675, 104, 435, 322, 447, 117, 607, 121, 374, 575, 148, 188, 372, 677, 512, 349, 392, 666, 260, 211, 648, 611, 118, 586, 53, 114, 289, 327, 510, 561, 350, 316, 534]"
3,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
4,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
5,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
6,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
7,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
8,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
9,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
10,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
11,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
12,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
13,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
14,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
15,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
16,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
17,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
18,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
19,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
20,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
21,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
22,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
23,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
24,35,"[586, 447, 635, 350, 589, 498, 47, 372, 483, 657, 524, 675, 75, 449, 251, 114, 561, 316, 327, 105, 401, 611, 575, 296, 188, 392, 360, 607, 118, 128, 648, 666, 53, 344, 677]"
