Iteration,Best_Clique_Size,Best_Clique
0,31,"[467, 238, 401, 30, 211, 344, 593, 358, 652, 267, 619, 381, 324, 121, 607, 582, 316, 222, 189, 192, 68, 586, 524, 105, 578, 141, 648, 151, 575, 611, 561]"
1,32,"[607, 391, 606, 144, 558, 212, 653, 511, 672, 492, 253, 29, 392, 281, 494, 78, 49, 648, 218, 151, 652, 436, 353, 47, 578, 53, 561, 148, 467, 372, 291, 512]"
2,32,"[607, 391, 606, 144, 558, 212, 653, 511, 672, 492, 253, 29, 392, 281, 494, 78, 49, 648, 218, 151, 652, 436, 353, 47, 578, 53, 561, 148, 467, 372, 291, 512]"
3,32,"[607, 391, 606, 144, 558, 212, 653, 511, 672, 492, 253, 29, 392, 281, 494, 78, 49, 648, 218, 151, 652, 436, 353, 47, 578, 53, 561, 148, 467, 372, 291, 512]"
4,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
5,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
6,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
7,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
8,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
9,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
10,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
11,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
12,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
13,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
14,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
15,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
16,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
17,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
18,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
19,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
20,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
21,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
22,35,"[160, 666, 510, 291, 561, 479, 511, 14, 132, 494, 512, 322, 29, 324, 378, 536, 611, 105, 53, 453, 316, 607, 121, 192, 325, 75, 151, 677, 578, 344, 247, 467, 8, 148, 558]"
